ID;SRC;TAR
100;haldusorgan;административный орган
10002;arvepidamine;бухгалтерский учет
10003;loomade elu;жизнь животных
10008;tarbekaubad;потребительский продукт
1001;sild;мост
10017;müra mõju tervisele;воздействие шума на здоровье
10018;inimese keha;человеческое тело
10019;inimteadus;науки о человеке
10026;õigustoiming;юридический акт
10031;meteoroloogiline uurimistöö;метеорологические исследования
10032;loodusmaistukaitse;охрана природных зон
10034;loodusohutõrje;снижение природных рисков
10039;füüsikaline keemia;физическая химия
10040;reostuse füüsikaline mõõtmine;физическое измерение уровня загрязнения
10043;taimestik;жизнь растений
10044;taimesaaduste toodang;заводское производство
10053;riski ohjamine;управление риском
10054;ohutussüsteem;система безопасности
10055;seismotehnika;сейсмоустойчивое строительство
10057;sotsiaalteadus;общественная наука
10058;pinnaveemajandus;управление открытыми водоемами
10064;looduselustiku kaitse;защита дикой природы
10066;vanalinn;исторический центр
10068;müüritis;каменная кладка
1007;broom;бром
10071;liivaleede;песчаная отмель
10073;loomaliik;животные виды
10074;taimeliik;растительные виды
10076;amet;профессия
10078;rahvakomme;народная традиция
10084;õigusharu;отрасль права
10085;kohtusüsteem;судебная система
10087;reoainete keemiline määramine;химическое измерение уровня загрязнения
10088;mõõteriist;измерительный инструмент
10092;linnamüra;городской шум
10102;loodusoht;природный риск
10103;loodusohuanalüüs;анализ природного риска
10104;suurrisk;высокий уровень риска
10106;päästesüsteem;система спасения
10107;kriisijuhtimine;кризисное управление
10120;maksustamissüsteem;налоговая система
10126;keskkonnakontseptsioon;экологическая концепция
10128;metsaökoloogia;экология лесов
10129;teaduslik ökoloogia;экология как наука
10130;linnaökoloogia;городская экология
10131;ökopiirkond;экозона
10135;paleoökoloogia;палеоэкология
10136;bioloogiline pärand;биологическое наследие
1014;haudumine;высиживание яиц
10142;abajas;пещера
10143;kanjon;каньон
10146;amfiteaterorg;цирк
10149;vallrand;песчаная коса
1015;oja;ручей
10152;jõesopp;небольшой залив
10160;korallrahulaguun;лагуна кораллового рифа
10161;jõesäng;русло реки
10166;füüsiline keskkond;физическая среда
10170;alluviaaltasandik;аллювиальная равнина
10190;tundlik loodusala;экологически нестабильная природная зона
10191;keskkonnaanalüüs;экологический анализ
10194;vesikeskkond;водная среда
10197;tundlik keskkond;неустойчивая среда
10198;maismaakeskkond;природная среда суши
10199;merelooduspark;морской парк
1020;võsa;кустарниковые заросли
10200;piirkondlik looduspark;региональный природный парк
10202;riiklik bioloogiline kaitseala;государственный биологический заповедник
10203;bioloogiline metsakaitseala;лесной биологический заповедник
10208;usalduskaitseala;частный природный заповедник
10210;loodusreservaat;центральная часть природного парка
10212;merekaitseala;охраняемая морская зона
10214;kaitseala puhverala;периферийная часть природного заповедника
10215;teetrasside valik;упорядочение
10225;prantsuse park;французский сад
10228;inglise park;английский сад
10229;terrassaed;террасовый сад
10233;terrassmaastik;террасированный ландшафт
10236;mäestikukaitse;охрана гор
10238;rannikukaitse;охрана прибрежных районов
1025;eelarve;бюджет
10251;linnaökoloogia esitlusmudel;графическое изображение городской экологии
10255;keskkonnahoidlik kodakondsus;экологически ответственная гражданская позиция
10256;tervikjuhtimine;интегрированный менеджмент
10260;sponsor;спонсорство
1029;ehitis;здание
103;halduspädevus;компетентность административного персонала
10305;siirdekala;мигрирующая рыба
1033;tarielement;строительный элемент
10381;kaslane;кошачьи
1039;ehitustööstus;строительная индустрия
1041;ehitusmaa;земля под строительство
1042;ehitusmaterjal;строительный материал
10421;mereimetaja;морское млекопитающее
1044;ehitusmaterjalitööstus;промышленность стройматериалов
10444;lambad;овечьи
1046;ehituse planeerimine;планирование строительства
10496;pesitsusala;район гнездования
10512;loomade ränne;перемещение животных
1052;ehitusplats;строительная площадка
10523;looma elupiirkond;природная среда обитания животных
10535;pesitsemine;гнездование
10539;loomakooslus;популяция животных
1054;ehitusplatsi ettevalmistamine;подготовка строительной площадки
10548;loomade paljunemine;репродукция животных
10554;ellujäämine;выживание
10568;lehtpuu;широколиственное дерево
10574;vetikaaas;водоросли
10575;makrofüüt;макрофит
1058;ehitustehnoloogia;строительная технология
10593;kaldataimestik;береговая растительность
10605;kastan;каштан
1061;kuivendussüsteem;система дренажа
10626;taimkatte kõrgusvöönd;зональная растительность
1063;tehiskeskkond;созданная среда
1064;ehitis;строение
10646;sordikollektsioon;коллекция видов
1065;täisehitatud ala;застроенная территория
10651;loomakaitseala;заповедник животных
10652;botaaniline kaitseala;ботанический заповедник
10666;pärandloomastik;наследие животного мира
10667;pärandtaimestik;наследие растительного мира
1067;sibullillekasvatus;культивация луковиц
10670;loomakaitse;защита животных
10671;loomaliikide reintroduktsioon;повторное заселение видов животных
