ID;SRC;TAR
100;haldusorgan;административный орган
10002;arvepidamine;бухгалтерский учет
10003;loomade elu;жизнь животных
10008;tarbekaubad;потребительский продукт
1001;sild;мост
10012;keskkonnajuhtimisasutus;административное учреждение, занимающееся вопросами окружающей среды
10017;müra mõju tervisele;воздействие шума на здоровье
10018;inimese keha;человеческое тело
10019;inimteadus;науки о человеке
10024;teabeedastus, infoedastus;передача информации
10026;õigustoiming;юридический акт
10031;meteoroloogiline uurimistöö;метеорологические исследования
10032;loodusmaistukaitse;охрана природных зон
10034;loodusohutõrje;снижение природных рисков
10039;füüsikaline keemia;физическая химия
10040;reostuse füüsikaline mõõtmine;физическое измерение уровня загрязнения
10043;"taimestik; vegetatsioon";жизнь растений
10044;taimesaaduste toodang;заводское производство
10048;reostuse (saastuse) liik;тип загрязняющего вещества
10049;reostamise vältimine, saastamise vältimine;предотвращение загрязнения
10053;riski ohjamine;управление риском
10054;ohutussüsteem;система безопасности
10055;seismotehnika;сейсмоустойчивое строительство
10057;sotsiaalteadus;общественная наука
10058;pinnaveemajandus;управление открытыми водоемами
10064;looduselustiku kaitse;защита дикой природы
10066;vanalinn;исторический центр
10067;kaubanduse ja tööstuse edendamine (soodustamine);поддержка торговли и промышленности
10068;müüritis;каменная кладка
1007;broom;бром
10071;liivaleede;песчаная отмель
10073;loomaliik;животные виды
10074;taimeliik;растительные виды
10076;"amet; [elu]kutse";профессия
10078;rahvakomme;народная традиция
10084;õigusharu;отрасль права
10085;kohtusüsteem;судебная система
10087;reoainete keemiline määramine;химическое измерение уровня загрязнения
10088;mõõteriist;измерительный инструмент
10089;reoaine (saasteaine) toime suurenemine;эволюция загрязнения
10092;linnamüra;городской шум
10097;puhtus;чистота (гигиена)
10099;tööstuskeskkond;промышленная среда (общий термин)
10102;loodusoht;природный риск
10103;loodusohuanalüüs;анализ природного риска
10104;suurrisk;высокий уровень риска
10106;päästesüsteem;система спасения
10107;kriisijuhtimine;кризисное управление
10120;maksustamissüsteem;налоговая система
10126;keskkonnakontseptsioon;экологическая концепция
10128;metsaökoloogia;экология лесов
10129;teaduslik ökoloogia;экология как наука
10130;linnaökoloogia;городская экология
10131;ökopiirkond;экозона
10133;keskkonnatehnika;средства и методы охраны окружающей среды
10135;paleoökoloogia;палеоэкология
10136;bioloogiline pärand;биологическое наследие
1014;haudumine;высиживание яиц
10140;kõrgus;высота (геогр.)
10142;abajas;пещера
10143;kanjon;каньон
10144;neem, maanina;мыс
10146;amfiteaterorg;цирк
10148;manner, kontinent;континент
10149;vallrand;песчаная коса
1015;oja;ручей
10152;"jõesopp; oja";небольшой залив
10154;murrang         (geol);разлом
10155;"kalju (geol); pank, rannajärsak, klint";скала
10158;avameri, ulgumeri;открытое море
10160;korallrahulaguun;лагуна кораллового рифа
10161;jõesäng;русло реки
10166;füüsiline keskkond;физическая среда
10170;alluviaaltasandik;аллювиальная равнина
10175;vallrahu, barjäärriff;барьерный риф
10176;pinnamood, reljeef;рельеф земли
10189;biotoobijärk;законодательный акт по вопросам биотопа
10190;tundlik loodusala;экологически нестабильная природная зона
10191;keskkonnaanalüüs;экологический анализ
10193;elutu keskkond, elutu ümbruskond;абиотическая среда
10194;vesikeskkond;водная среда
10197;tundlik keskkond;неустойчивая среда
10198;maismaakeskkond;природная среда суши
10199;merelooduspark;морской парк
1020;võsa;кустарниковые заросли
10200;piirkondlik looduspark;региональный природный парк
10201;reservaat;заповедник, заказник
10202;riiklik bioloogiline kaitseala;государственный биологический заповедник
10203;bioloogiline metsakaitseala;лесной биологический заповедник
10208;usalduskaitseala;частный природный заповедник
10210;loodusreservaat;центральная часть природного парка
10212;merekaitseala;охраняемая морская зона
10214;kaitseala puhverala;периферийная часть природного заповедника
10215;teetrasside valik;упорядочение
10217;hekimaastik (Põhja-Prantsusmaal);бокаж
10225;prantsuse park;французский сад
10228;inglise park;английский сад
10229;terrassaed;террасовый сад
1023;sammaltaim;бриофиты (мхи и печеночники)
10233;terrassmaastik;террасированный ландшафт
10236;mäestikukaitse;охрана гор
10237;paigakaitse;охрана окружающей среды конкретного района
10238;rannikukaitse;охрана прибрежных районов
1024;ühiskuplistrateegia (heitekaubanduses);политика зачета уровней выброса
10240;paigaennistus;восстановление окружающей среды конкретного района
10243;salastatud paik;классифицированный объект охраны окружающей среды
10244;katastrisse kantud maa;зарегистрированный объект охраны окружающей среды
1025;eelarve;бюджет
10251;linnaökoloogia esitlusmudel;графическое изображение городской экологии
10255;keskkonnahoidlik kodakondsus;экологически ответственная гражданская позиция
10256;tervikjuhtimine;интегрированный менеджмент
10260;sponsor;спонсорство
